# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 GeForce 8800 GT
# CUDA_PROFILE_CSV 1
timestamp,method,gputime,cputime,regperthread,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent
1093.465,memcpyHtoD,10.880,799.747
1905.191,memcpyHtoD,116.096,311.874
2232.746,memcpyHtoD,115.552,289.943
2528.951,memcpyHtoD,10.432,52.135
2589.164,memcpyHtoD,6.848,31.988
2639.913,memcpyHtoD,5.152,16.599
2688.506,memcpyHtoD,3.648,4.719
2696.518,memcpyHtoD,3.520,4.457
2711.565,memcpyHtoD,3.552,3.100
2725.402,memcpyHtoD,3.520,4.307
2740.605,memcpyHtoD,3.520,4.577
2791.369,memcpyHtoD,3.488,4.009
2806.175,memcpyHtoD,3.520,4.154
2820.259,memcpyHtoD,3.520,3.906
2835.038,memcpyHtoD,3.552,4.256
2850.133,memcpyHtoD,3.616,4.346
2865.483,memcpyHtoD,3.520,3.179
2879.598,memcpyHtoD,3.680,4.391
2894.771,memcpyHtoD,3.552,14.372
2921.005,memcpyHtoD,3.520,4.165
2935.116,memcpyHtoD,3.520,3.796
2949.598,memcpyHtoD,3.520,4.433
2965.489,memcpyHtoD,3.648,4.394
2979.977,memcpyHtoD,3.520,4.361
2995.035,memcpyHtoD,3.552,3.053
3061.074,_Z23pole_clear_trace_kernelv,12.256,46.364,3,0.667,0,0,0,2688
3211.396,_Z17pole_learn_kerneljj,86455.586,86468.867,21,0.333,524544,1782048,0,5615264
89789.898,_Z23pole_clear_trace_kernelv,12.384,402.671,3,0.667,0,0,0,2688
90267.586,_Z17pole_learn_kerneljj,85772.547,85787.453,21,0.333,524544,1776898,0,5469448
176126.500,_Z23pole_clear_trace_kernelv,12.448,606.933,3,0.667,0,0,0,2688
176806.359,_Z17pole_learn_kerneljj,85095.008,85484.016,21,0.333,1049088,3552946,0,10891640
262368.281,_Z23pole_clear_trace_kernelv,12.480,503.801,3,0.667,0,0,0,2688
262957.750,_Z17pole_learn_kerneljj,84786.492,84801.812,21,0.333,524544,1775473,0,5406816
347949.438,_Z23pole_clear_trace_kernelv,13.760,438.752,3,0.667,0,0,0,2688
348566.062,_Z17pole_learn_kerneljj,84471.039,84499.242,21,0.333,524544,1774623,0,5356376
433146.625,_Z23pole_clear_trace_kernelv,12.448,465.967,3,0.667,0,0,0,2688
433684.219,_Z17pole_learn_kerneljj,84268.734,84281.734,21,0.333,524544,1774298,0,5333696
518039.125,_Z23pole_clear_trace_kernelv,11.264,26.571,3,0.667,0,0,0,2688
518135.188,_Z17pole_learn_kerneljj,83713.922,83726.734,21,0.333,524544,1774198,0,5324032
601951.812,_Z23pole_clear_trace_kernelv,11.520,371.723,3,0.667,0,0,0,2688
602395.375,_Z17pole_learn_kerneljj,84340.289,84765.625,21,0.333,1049088,3546496,0,10571016
687346.562,_Z23pole_clear_trace_kernelv,12.352,365.781,3,0.667,0,0,0,2688
687800.500,_Z17pole_learn_kerneljj,84184.062,84196.430,21,0.333,524544,1773373,0,5260544
772068.188,_Z23pole_clear_trace_kernelv,11.424,385.447,3,0.667,0,0,0,2688
772532.312,_Z17pole_learn_kerneljj,83748.195,84288.344,21,0.333,1049088,3546021,0,10571488
856892.312,_Z23pole_clear_trace_kernelv,12.448,474.890,3,0.667,0,0,0,2688
857438.375,_Z17pole_learn_kerneljj,83687.844,83700.953,21,0.333,524544,1772473,0,5258312
941215.562,_Z23pole_clear_trace_kernelv,12.480,438.253,3,0.667,0,0,0,2688
941723.312,_Z17pole_learn_kerneljj,83735.008,83760.328,21,0.333,524544,1772623,0,5256576
1025557.625,_Z23pole_clear_trace_kernelv,12.320,601.606,3,0.667,0,0,0,2688
1026237.312,_Z17pole_learn_kerneljj,83771.555,84148.891,21,0.333,1049088,3544921,0,10527760
1110458.500,_Z23pole_clear_trace_kernelv,12.352,519.188,3,0.667,0,0,0,2688
1111048.625,_Z17pole_learn_kerneljj,83692.227,83706.133,21,0.333,524544,1772098,0,5228640
1194828.000,_Z23pole_clear_trace_kernelv,12.480,520.761,3,0.667,0,0,0,2688
1195420.125,_Z17pole_learn_kerneljj,83541.281,83553.891,21,0.333,524544,1772398,0,5215936
1279061.875,_Z23pole_clear_trace_kernelv,12.064,584.256,3,0.667,0,0,0,2688
1279716.875,_Z17pole_learn_kerneljj,83624.828,84035.922,21,0.333,1049088,3544021,0,10507712
1363831.125,_Z23pole_clear_trace_kernelv,12.448,523.293,3,0.667,0,0,0,2688
